 ,2016
"036 Belhavel, Co. Leitrim",..
"037 Cloonclare, Co. Leitrim",..
"038 Cloonlogher, Co. Leitrim",29130
"039 Drumahaire, Co. Leitrim",30909
"040 Drumkeeran, Co. Leitrim",27985
999 Garvagh / Arigna,..
"042 Glenade, Co. Leitrim",..
"043 Glenaniff, Co. Leitrim",..
"044 Glenboy, Co. Leitrim",33547
"045 Glencar, Co. Leitrim",..
"046 Glenfarn, Co. Leitrim",..
"047 Killanummery, Co. Leitrim",31251
"048 Killarga, Co. Leitrim",..
"049 Kiltyclogher, Co. Leitrim",..
"050 Lurganboy, Co. Leitrim",30681
"051 Mahanagh, Co. Leitrim",30558
"052 Manorhamilton, Co. Leitrim",29660
"053 Munakill, Co. Leitrim",26574
"054 Sramore, Co. Leitrim",34813
"055 St. Patrick's, Co. Leitrim",..
"056 Aghavas, Co. Leitrim",23316
"057 Beihy, Co. Leitrim",22971
"058 Breandrum, Co. Leitrim",23015
"059 Bunnybeg, Co. Leitrim",20044
"060 Carrigallen East, Co. Leitrim",..
"061 Carrigallen West, Co. Leitrim",19678
"062 Cashel, Co. Leitrim",..
"063 Castlefore, Co. Leitrim",34588
"064 Cattan, Co. Leitrim",29586
"065 Cloone, Co. Leitrim",27605
"066 Corriga, Co. Leitrim",23035
"067 Drumard, Co. Leitrim",27692
"068 Drumdoo, Co. Leitrim",23892
"069 Drumod, Co. Leitrim",27285
"070 Fenagh, Co. Leitrim",29823
"071 Gortermone, Co. Leitrim",21671
"072 Keeldra, Co. Leitrim",24904
"073 Lisgillock, Co. Leitrim",..
"074 Mohill, Co. Leitrim",22303
"075 Rinn, Co. Leitrim",24017
"076 Riverstown, Co. Leitrim",24042
"077 Roosky, Co. Leitrim",26520
"078 Rowan, Co. Leitrim",..
"001 Ardnaree South Urban, Co. Mayo",20590
"002 Ballina Urban, Co. Mayo",23796
"003 Castlebar Urban, Co. Mayo",24692
"004 Westport Urban, Co. Mayo",24440
"005 Ardagh, Co. Mayo",26812
"006 Ardnaree North (Part Urban), Co. Mayo",35274
"007 Ardnaree South Rural (Part Urban), Co. Mayo",30752
"008 Attymass East, Co. Mayo",26099
"009 Attymass West, Co. Mayo",..
"010 Ballina Rural (Part Urban), Co. Mayo",26839
"011 Ballycastle, Co. Mayo",21464
"012 Ballysakeery, Co. Mayo",27277
"013 Béal Deirg Mór, Co. Mayo",17320
"014 Bunaveela, Co. Mayo",..
"015 Carrowmore, Co. Mayo",31334
"016 Crossmolina North, Co. Mayo",27228
"017 Crossmolina South, Co. Mayo",29904
"018 Deel, Co. Mayo",27558
"019 Derry, Co. Mayo",15168
"020 Fortland, Co. Mayo",36604
"021 Kilfian East, Co. Mayo",..
"022 Kilfian South, Co. Mayo",24134
"023 Kilfian West, Co. Mayo",..
"024 Kilgarvan, Co. Mayo",26140
"025 Killala, Co. Mayo",26764
"026 Lackan North, Co. Mayo",22288
"027 Lackan South, Co. Mayo",29312
"028 Letterbrick, Co. Mayo",..
"029 Mount Falcon, Co. Mayo",27602
"030 Rathoma, Co. Mayo",30464
"031 Sallymount, Co. Mayo",23353
"032 Sraheen, Co. Mayo",27716
"033 Baile an Chalaidh, Co. Mayo",31477
"034 Ballinrobe, Co. Mayo",23588
"035 Baile Óbha, Co. Mayo",29619
"036 Burriscarra, Co. Mayo",32257
"037 An Cheapaigh Dhuibh, Co. Mayo",29912
"038 Cong, Co. Mayo",25045
"039 Coonard, Co. Mayo",31800
"040 Dalgan, Co. Mayo",25783
"041 Hollymount, Co. Mayo",24353
"042 Houndswood, Co. Mayo",24315
"043 Kilcommon, Co. Mayo",23934
"044 Kilmaine, Co. Mayo",22796
"045 Neale, Co. Mayo",25358
"046 Newbrook, Co. Mayo",32118
"047 Abhainn Bhrain, Co. Mayo",..
"048 Partraí, Co. Mayo",36487
"049 Roslee, Co. Mayo",28832
"050 Shrule, Co. Mayo",28655
"051 An Geata Mór Thuaidh, Co. Mayo",24716
"052 An Geata Mór Theas, Co. Mayo",26748
"053 Bangor, Co. Mayo",22362
"054 Barr Rúscaí, Co. Mayo",..
"055 Béal an Mhuirthead, Co. Mayo",22128
"056 Gleann na Muaidhe, Co. Mayo",..
"057 Gleann Chaisil, Co. Mayo",20672
999 Glenco / Sheskin,..
"059 Guala Mhór, Co. Mayo",..
"060 Cnoc an Daimh, Co. Mayo",..
"061 Cnoc na Lobhar, Co. Mayo",20058
"062 Moing na Bó, Co. Mayo",..
"063 Na Monga, Co. Mayo",..
"064 Cnoc na Ráithe, Co. Mayo",15396
"066 Addergoole, Co. Mayo",31759
"067 Balla, Co. Mayo",28692
"068 Ballinafad, Co. Mayo",31456
"069 Ballyhean, Co. Mayo",33654
"070 Ballynagoraher, Co. Mayo",32199
"071 Bellavary, Co. Mayo",33800
"072 Breaghwy, Co. Mayo",34612
"073 Burren, Co. Mayo",..
"074 Castlebar Rural (Part Urban), Co. Mayo",31172
"075 Clogher, Co. Mayo",28199
"076 Cloonkeen, Co. Mayo",32176
"077 Croaghmoyle, Co. Mayo",..
"078 Killavally, Co. Mayo",35609
"079 Manulla, Co. Mayo",29709
"080 Pontoon, Co. Mayo",31805
"081 Strade, Co. Mayo",32384
"082 Tamhnaigh na Graí, Co. Mayo",27194
"083 Turlough, Co. Mayo",35967
"084 Ballindine, Co. Mayo",25926
"085 Ballyhaunis, Co. Mayo",21828
"086 Ballyhowly, Co. Mayo",26000
"087 Bekan, Co. Mayo",22465
"088 Caraun, Co. Mayo",31414
"089 Claremorris, Co. Mayo",23538
"090 Cloghermore, Co. Mayo",..
"091 Course, Co. Mayo",21443
"092 Crossboyne, Co. Mayo",28455
"093 Culnacleha, Co. Mayo",25110
"094 Garrymore, Co. Mayo",24129
"095 Kilcolman, Co. Mayo",26530
"096 Kilvine, Co. Mayo",25205
"097 Knock North, Co. Mayo",22456
"098 Knock South, Co. Mayo",24202
"099 Loughanboy, Co. Mayo",..
"100 Mayo, Co. Mayo",26391
"101 Murneen, Co. Mayo",23706
"102 Tagheen, Co. Mayo",..
"103 Aghamore, Co. Mayo",24924
"104 Ballinamore, Co. Mayo",29900
"105 Bohola, Co. Mayo",..
"106 Brackloon, Co. Mayo",24995
"107 Callow, Co. Mayo",25480
"108 Cloonmore, Co. Mayo",20555
"109 Coolnaha, Co. Mayo",28253
"110 Cuildoo, Co. Mayo",27791
"111 Doocastle, Co. Mayo",20998
"112 Kilbeagh, Co. Mayo",26234
"113 Kilkelly, Co. Mayo",25446
"114 Killedan, Co. Mayo",29757
"115 Kilmovee, Co. Mayo",22517
"116 Kiltamagh, Co. Mayo",25652
"117 Meelick, Co. Mayo",31494
"118 Sonnagh, Co. Mayo",22747
"119 Swineford, Co. Mayo",28180
"120 Toocananagh, Co. Mayo",34972
"121 Toomore, Co. Mayo",30000
"122 Tumgesh, Co. Mayo",34336
"123 Urlaur, Co. Mayo",24301
"124 Acaill, Co. Mayo",19441
"125 Aghagower North, Co. Mayo",31695
"126 Aghagower South, Co. Mayo",..
"127 Aillemore, Co. Mayo",19846
"128 Ballycroy North, Co. Mayo",12460
"129 Ballycroy South, Co. Mayo",17844
"131 Clare Island, Co. Mayo",20608
"132 Clogher, Co. Mayo",29554
"133 An Corrán, Co. Mayo",17449
"134 Croaghpatrick, Co. Mayo",27857
"135 Derryloughan, Co. Mayo",29675
"136 Dumha Éige, Co. Mayo",21198
"137 Drummin, Co. Mayo",..
"138 Emlagh, Co. Mayo",22069
"139 Erriff, Co. Mayo",..
"140 Glenhest, Co. Mayo",27696
"141 Islandeady, Co. Mayo",32529
"142 Kilgeever, Co. Mayo",..
"143 Kilmaclasser, Co. Mayo",25848
"144 Kilmeena (Part Urban), Co. Mayo",32735
"145 Kilsallagh, Co. Mayo",25765
"146 Knappagh, Co. Mayo",27513
"147 Louisburgh, Co. Mayo",25072
"148 Newport East, Co. Mayo",28201
"149 Newport West, Co. Mayo",21509
999 Owennadornaun / Bundorragha,22215
"151 Slievemahanagh, Co. Mayo",26475
"152 Slievemore, Co. Mayo",18127
"153 Srahmore, Co. Mayo",..
"154 Westport Rural, Co. Mayo",33200
"001 Athlone West Rural, Co. Roscommon",27653
"002 Ballydangan, Co. Roscommon",32147
"003 Ballynamona, Co. Roscommon",33260
"004 Caltragh, Co. Roscommon",35696
"005 Carnagh, Co. Roscommon",31847
"006 Carrowreagh, Co. Roscommon",29173
"007 Castlesampson, Co. Roscommon",30624
"008 Cloonburren, Co. Roscommon",30970
"009 Cloonown, Co. Roscommon",30741
"010 Crannagh, Co. Roscommon",35231
"011 Creagh, Co. Roscommon",32780
"012 Culliagh, Co. Roscommon",30775
"013 Drumlosh, Co. Roscommon",27169
"014 Dysart, Co. Roscommon",29663
"015 Kilcar, Co. Roscommon",31032
"016 Kiltoom, Co. Roscommon",35042
"017 Lecarrow, Co. Roscommon",32922
"018 Moore, Co. Roscommon",31482
"019 Rockhill, Co. Roscommon",31088
"020 Taghboy, Co. Roscommon",24649
"021 Taghmaconnell, Co. Roscommon",39072
"022 Thomastown, Co. Roscommon",31320
"023 Turrock, Co. Roscommon",28878
"024 Aghafin, Co. Roscommon",..
"026 Aughrim East, Co. Roscommon",27361
"027 Aughrim West, Co. Roscommon",..
"028 Ballyfarnan, Co. Roscommon",25896
"029 Ballyfermoyle, Co. Roscommon",19864
"030 Boyle Rural, Co. Roscommon",27363
"031 Boyle Urban, Co. Roscommon",23342
"032 Breedoge, Co. Roscommon",25436
"033 Cloonteen, Co. Roscommon",30258
"034 Creeve, Co. Roscommon",..
"035 Croghan, Co. Roscommon",31568
"036 Crossna, Co. Roscommon",30074
"037 Danesfort, Co. Roscommon",29640
"038 Estersnow, Co. Roscommon",..
"039 Keadew, Co. Roscommon",24606
"040 Kilbryan, Co. Roscommon",24458
"041 Kilcolagh, Co. Roscommon",..
"042 Killukin, Co. Roscommon",27496
"043 Killummod, Co. Roscommon",..
"044 Kilmacumsy, Co. Roscommon",30545
"045 Kilmore, Co. Roscommon",27779
999 Lisgarve / Mantua,..
999 Lough Allen / Altagowlan,26760
"049 Oakport, Co. Roscommon",25668
"050 Rockingham, Co. Roscommon",25514
"051 Rushfield, Co. Roscommon",25601
"052 Tivannagh, Co. Roscommon",25337
"053 Tumna North, Co. Roscommon",..
"054 Tumna South, Co. Roscommon",28014
"055 Artagh North, Co. Roscommon",22456
"056 Artagh South, Co. Roscommon",22555
"057 Ballaghaderreen, Co. Roscommon",21361
"058 Ballinlough, Co. Roscommon",25073
"059 Ballintober, Co. Roscommon",30844
"060 Baslick, Co. Roscommon",..
"061 Bellanagare, Co. Roscommon",24298
"062 Buckill, Co. Roscommon",30619
"063 Carrowduff, Co. Roscommon",23708
"064 Castleplunket, Co. Roscommon",23195
"065 Castlereagh, Co. Roscommon",24317
"066 Castleteheen, Co. Roscommon",27707
"067 Cloonfower, Co. Roscommon",25622
"068 Coolougher, Co. Roscommon",26389
"069 Edmondstown, Co. Roscommon",17827
"070 Fairymount, Co. Roscommon",27436
"071 Frenchpark, Co. Roscommon",22813
"072 Kiltullagh, Co. Roscommon",23295
"073 Loughglinn, Co. Roscommon",25593
"074 Annaghmore, Co. Roscommon",26070
"075 Athleague East, Co. Roscommon",27655
"076 Athleague West, Co. Roscommon",25039
"077 Ballygarden, Co. Roscommon",33413
"078 Bumlin, Co. Roscommon",26797
"079 Cams, Co. Roscommon",30335
"080 Cloonfinlough, Co. Roscommon",..
"081 Cloontuskert, Co. Roscommon",27815
"082 Cloonygormican, Co. Roscommon",26324
"083 Cloonyquin, Co. Roscommon",28080
"084 Creeve, Co. Roscommon",25000
"085 Cregga, Co. Roscommon",..
"086 Drumdaff, Co. Roscommon",31957
"087 Dunamon, Co. Roscommon",30472
"088 Elia, Co. Roscommon",..
"089 Elphin, Co. Roscommon",23351
"090 Fuerty, Co. Roscommon",30760
"091 Kilbride North, Co. Roscommon",25896
"092 Kilbride South, Co. Roscommon",28221
"093 Kilgefin, Co. Roscommon",26889
"094 Kilglass North, Co. Roscommon",26847
"095 Kilglass South, Co. Roscommon",29636
"096 Killavackan, Co. Roscommon",24316
"097 Killukin, Co. Roscommon",24768
"098 Kilteevan, Co. Roscommon",30476
"099 Lackan, Co. Roscommon",30290
"100 Lismaha, Co. Roscommon",29108
"101 Lissonuffy, Co. Roscommon",..
"102 Mote, Co. Roscommon",31354
"103 Ogulla, Co. Roscommon",28217
"104 Roosky, Co. Roscommon",24424
"105 Roscommon Rural, Co. Roscommon",27825
"106 Roscommon Urban, Co. Roscommon",24259
"107 Rosmoylan, Co. Roscommon",25112
"108 Rossmore, Co. Roscommon",..
"109 Scregg, Co. Roscommon",35901
"110 Strokestown, Co. Roscommon",25030
"111 Termonbarry, Co. Roscommon",31719
"112 Tulsk, Co. Roscommon",26000
"001 Sligo East, Co. Sligo",25444
"002 Sligo North, Co. Sligo",22140
"003 Sligo West, Co. Sligo",27674
"004 Aghanagh, Co. Sligo",35100
"005 Ballynashee, Co. Sligo",34099
"006 Coolavin, Co. Sligo",20000
"007 Cuilmore, Co. Sligo",23284
"008 Drumrat, Co. Sligo",32807
"009 Kilfree, Co. Sligo",22459
"010 Killadoon, Co. Sligo",25661
"011 Killaraght, Co. Sligo",18066
"012 Kilmactranny, Co. Sligo",33406
"013 Kilshalvy, Co. Sligo",26770
"014 Shancough, Co. Sligo",..
"015 Templevanny, Co. Sligo",28701
"016 Toomour, Co. Sligo",22097
"017 Aughris, Co. Sligo",27748
"018 Buncrowey, Co. Sligo",22487
"019 Castleconor East, Co. Sligo",..
"020 Castleconor West, Co. Sligo",30423
"021 Dromard East, Co. Sligo",32057
"022 Dromard West, Co. Sligo",31465
"023 Dromore, Co. Sligo",21962
"024 Easky East, Co. Sligo",21461
"025 Easky West, Co. Sligo",24092
"026 Kilglass, Co. Sligo",23893
"028 Rathmacurkey, Co. Sligo",24236
"029 Skreen, Co. Sligo",..
"030 Templeboy North, Co. Sligo",24326
999 Templeboy South / Mullagheruse,18519
"032 Toberpatrick East, Co. Sligo",28800
"033 Toberpatrick West, Co. Sligo",33401
"034 Ballintogher East, Co. Sligo",31902
"035 Ballintogher West, Co. Sligo",30789
"036 Ballymote, Co. Sligo",28463
"037 Ballynakill, Co. Sligo",29326
"038 Ballysadare East, Co. Sligo",31955
"039 Ballysadare West, Co. Sligo",31567
"040 Bricklieve, Co. Sligo",..
"041 Calry, Co. Sligo",34787
"042 Carney, Co. Sligo",33065
"043 Carrickbanagher, Co. Sligo",32680
"044 Cliffony North, Co. Sligo",31818
"045 Cliffony South, Co. Sligo",30738
"046 Collooney, Co. Sligo",30056
"047 Drumcliff East, Co. Sligo",40140
"048 Drumcliff West, Co. Sligo",39672
"049 Drumcolumb, Co. Sligo",..
"050 Drumfin, Co. Sligo",..
"051 Glencar, Co. Sligo",..
"052 Kilmacowen, Co. Sligo",34166
"053 Knockaree, Co. Sligo",33954
"054 Lakeview, Co. Sligo",31244
"055 Lisconny, Co. Sligo",..
"056 Lissadill East, Co. Sligo",35034
"057 Lissadill North, Co. Sligo",32769
"058 Lissadill West, Co. Sligo",29197
"059 Riverstown, Co. Sligo",31241
"060 Rossinver East, Co. Sligo",..
"061 Rossinver West, Co. Sligo",..
"062 Achonry East, Co. Sligo",20002
"063 Achonry West, Co. Sligo",26788
"064 Aclare, Co. Sligo",22112
"065 Annagh, Co. Sligo",..
"066 Banada, Co. Sligo",26020
999 Branchfield / Carrownaskeagh,..
"068 Breencorragh, Co. Sligo",..
"070 Cartron, Co. Sligo",31560
"072 Cloonoghill, Co. Sligo",30430
"073 Coolaney, Co. Sligo",31676
"074 Glendarragh, Co. Sligo",19587
"075 Kilmacteige, Co. Sligo",18916
"076 Kilturra, Co. Sligo",27806
"077 Leitrim, Co. Sligo",35594
999 Loughill / Cloonacool,21869
"079 Owenmore, Co. Sligo",..
"080 Streamstown, Co. Sligo",34120
"081 Temple, Co. Sligo",29274
"082 Tobercurry, Co. Sligo",25000
"001 Cavan Urban, Co. Cavan",21122
"002 Bailieborough, Co. Cavan",25822
"003 Carnagarve, Co. Cavan",26000
"004 Crossbane, Co. Cavan",30271
"005 Drumanespick, Co. Cavan",28833
"006 Enniskeen, Co. Cavan",30387
"007 Killinkere, Co. Cavan",32206
"008 Kingscourt, Co. Cavan",25259
"009 Lisagoan, Co. Cavan",28525
"010 Mullagh, Co. Cavan",24311
"011 Shercock, Co. Cavan",26227
"012 Skeagh, Co. Cavan",30208
"013 Taghart, Co. Cavan",26824
"014 Termon, Co. Cavan",31461
"015 Ballyconnell, Co. Cavan",24081
"016 Ballymagauran, Co. Cavan",20471
"017 Bawnboy, Co. Cavan",26304
"019 Bilberry, Co. Cavan",..
"020 Carn, Co. Cavan",..
"021 Diamond, Co. Cavan",..
"022 Doogary, Co. Cavan",..
"023 Kinawley, Co. Cavan",..
"024 Lissanover, Co. Cavan",22453
999 Pedara Vohers / Tircahan,..
"026 Swanlinbar, Co. Cavan",21237
999 Templeport / Benbrack,24081
"029 Ballyjamesduff, Co. Cavan",22345
"030 Castlerahan, Co. Cavan",26881
"031 Kilbride, Co. Cavan",24276
"032 Lurgan, Co. Cavan",29371
"033 Munterconnaught, Co. Cavan",26939
"034 Virginia, Co. Cavan",25460
"035 Ardue, Co. Cavan",29822
"036 Arvagh, Co. Cavan",26844
"037 Ashfield, Co. Cavan",29711
"038 Ballintemple, Co. Cavan",25766
"039 Ballyhaise, Co. Cavan",30604
"040 Ballymachugh, Co. Cavan",27094
"041 Bellananagh, Co. Cavan",23348
"042 Belturbet Urban, Co. Cavan",22757
"043 Bruce Hall, Co. Cavan",34407
"044 Butler's Bridge, Co. Cavan",35304
"045 Canningstown, Co. Cavan",26215
"046 Carrafin, Co. Cavan",33710
"047 Castlesaunderson, Co. Cavan",25608
"048 Cavan Rural, Co. Cavan",27508
"049 Clonervy, Co. Cavan",29928
"050 Cootehill Rural, Co. Cavan",29792
"051 Cootehill Urban, Co. Cavan",23526
"052 Corr, Co. Cavan",31875
"053 Corraneary, Co. Cavan",26769
"054 Crossdoney, Co. Cavan",28392
"055 Crosskeys, Co. Cavan",26558
"056 Cuttragh, Co. Cavan",29061
"057 Denn, Co. Cavan",26510
"058 Derrin, Co. Cavan",31277
"059 Drumcarban, Co. Cavan",31024
"060 Drumcarn, Co. Cavan",29665
"061 Drung, Co. Cavan",26571
"062 Graddum, Co. Cavan",24368
"063 Grilly, Co. Cavan",29421
"064 Kilconny, Co. Cavan",29623
"065 Kill, Co. Cavan",25243
"066 Killashandra, Co. Cavan",25755
"067 Killykeen, Co. Cavan",33375
"068 Kilnaleck, Co. Cavan",22850
"069 Knappagh, Co. Cavan",28903
"070 Larah North, Co. Cavan",29307
"071 Larah South, Co. Cavan",25212
"072 Milltown, Co. Cavan",22827
"073 Moynehall, Co. Cavan",31062
"074 Rakenny, Co. Cavan",24906
"075 Redhill, Co. Cavan",26026
"076 Springfield, Co. Cavan",..
"077 Stradone, Co. Cavan",29726
"078 Tullyvin East, Co. Cavan",27774
"079 Tullyvin West, Co. Cavan",29544
"080 Waterloo, Co. Cavan",27557
"081 Derrylahan, Co. Cavan",..
"083 Dowra, Co. Cavan",..
999 Dunmakeever / Derrynananta,..
"085 Eskey, Co. Cavan",..
999 Killinagh / Teebane,..
"088 Tuam, Co. Cavan",20571
"089 Drumlumman, Co. Cavan",30270
"090 Kilcogy, Co. Cavan",31371
"091 Kilgolagh, Co. Cavan",24098
"092 Loughdawan, Co. Cavan",27207
"093 Scrabby, Co. Cavan",26223
"001 Buncrana Urban, Co. Donegal",21224
"002 Bundoran Urban, Co. Donegal",17706
"003 Letterkenny Urban, Co. Donegal",20653
"004 Ballintra, Co. Donegal",23827
"005 Ballyshannon Rural, Co. Donegal",26127
"006 Ballyshannon Urban, Co. Donegal",18556
"007 Bundoran Rural, Co. Donegal",23920
"008 Carrickboy, Co. Donegal",21553
"009 Cavangarden, Co. Donegal",21387
"010 Cliff, Co. Donegal",22499
"011 Ballintra, Co. Donegal",21590
"012 An Bhinn Bhán, Co. Donegal",14605
"013 Bonnyglen, Co. Donegal",23534
"014 Clogher, Co. Donegal",26160
"015 Corkermore, Co. Donegal",..
"016 Donegal, Co. Donegal",23272
"017 Dunkineely, Co. Donegal",22768
"018 Eanymore, Co. Donegal",21838
"019 Grousehall, Co. Donegal",..
"020 Haugh, Co. Donegal",24768
"021 Inver, Co. Donegal",24581
"022 Laghy, Co. Donegal",21238
"023 Loch Iascaigh, Co. Donegal",..
"024 Pettigoe, Co. Donegal",..
"025 Tantallon, Co. Donegal",25675
"026 Tawnawully, Co. Donegal",29538
"027 Templecarn, Co. Donegal",..
"028 Tullynaught, Co. Donegal",24470
"029 Ards, Co. Donegal",19494
"030 Críoch na Sméar, Co. Donegal",..
"031 An Craoslach, Co. Donegal",22268
"032 Na Croisbhealaí, Co. Donegal",18969
"033 Caisleán na dTuath, Co. Donegal",..
"034 Dún Fionnachaidh, Co. Donegal",16580
"035 Dún Lúiche, Co. Donegal",16773
"036 Gort an Choirce, Co. Donegal",18990
"037 Machaire Chlochair, Co. Donegal",23645
"038 Mín an Chladaigh, Co. Donegal",21897
"039 Anagaire, Co. Donegal",23101
"040 Árainn Mhór, Co. Donegal",..
"041 Ard an Rátha, Co. Donegal",18591
"042 Cró Bheithe, Co. Donegal",..
"043 Cró Chaorach, Co. Donegal",..
"044 Crownarad, Co. Donegal",..
"045 Dawros, Co. Donegal",16843
"046 An Dúchoraidh, Co. Donegal",..
"047 An Clochán Liath, Co. Donegal",21876
"048 Baile na Finne, Co. Donegal",18752
"049 Gleann Cholm Cille, Co. Donegal",20035
"050 Gleann Gheis, Co. Donegal",20317
"051 Gleann Léithín, Co. Donegal",..
"052 Na Gleannta, Co. Donegal",20370
"053 An Ghrafaidh, Co. Donegal",..
"054 Inis Caoil, Co. Donegal",..
"055 Cill Charthaigh, Co. Donegal",22232
"056 Cill Ghabhlaigh, Co. Donegal",23068
"057 Killybegs, Co. Donegal",23737
"058 An Leargaidh Mhór, Co. Donegal",23187
"059 Leitir Mhic an Bhaird, Co. Donegal",19415
"060 Maas, Co. Donegal",19837
"061 An Machaire, Co. Donegal",20367
"062 Málainn Bhig, Co. Donegal",18800
"063 Maol Mosóg, Co. Donegal",..
"064 Inis Mhic an Doirn, Co. Donegal",23421
"065 Tieveskeelta, Co. Donegal",..
"066 Ardmalin, Co. Donegal",19032
"067 Ballyliffin, Co. Donegal",18170
"068 Birdstown, Co. Donegal",20285
"069 Buncrana Rural, Co. Donegal",21454
"070 Burt, Co. Donegal",22842
"071 Carndonagh, Co. Donegal",20751
"072 Carthage, Co. Donegal",17873
"073 Castlecary, Co. Donegal",19931
"074 Castleforward, Co. Donegal",25234
"075 Culdaff, Co. Donegal",17983
"076 Desertegny, Co. Donegal",25067
"077 Dunaff, Co. Donegal",14706
"078 Fahan, Co. Donegal",22892
"079 Glennagannon, Co. Donegal",..
"080 Gleneely, Co. Donegal",14717
"081 Glentogher, Co. Donegal",..
"082 Greencastle, Co. Donegal",16907
"083 Illies, Co. Donegal",18431
"084 Inch Island, Co. Donegal",..
"085 Kilderry, Co. Donegal",19411
"086 Killea, Co. Donegal",20519
"087 Malin, Co. Donegal",19344
"088 Mintiaghs, Co. Donegal",19700
"089 Moville, Co. Donegal",18113
"090 Newtown Cunningham, Co. Donegal",24225
"091 Redcastle, Co. Donegal",17996
"092 Straid, Co. Donegal",16692
"093 Three Trees, Co. Donegal",17542
"094 Turmone, Co. Donegal",..
"095 Whitecastle, Co. Donegal",17816
"096 Ballymacool (Part Rural), Co. Donegal",26399
"097 Castlewray (Part Rural), Co. Donegal",34435
"098 Mín an Lábáin, Co. Donegal",28447
"099 Corravaddy (Part Rural), Co. Donegal",30576
"100 Edenacarnan (Part Rural), Co. Donegal",28332
"101 Gartán, Co. Donegal",..
"102 Gortnavern, Co. Donegal",31856
"103 Killymasny, Co. Donegal",31607
"104 Kincraigy, Co. Donegal",24220
"105 Letterkenny Rural (Part Rural), Co. Donegal",28345
"106 Magheraboy (Part Rural), Co. Donegal",29131
"107 Manorcunningham, Co. Donegal",24910
"108 Suí Corr, Co. Donegal",..
"109 Templedouglas, Co. Donegal",28272
"110 Ballyarr, Co. Donegal",30029
"111 Carraig Airt, Co. Donegal",16305
"112 An Cheathrú Chaol, Co. Donegal",27089
"113 Creamhghort, Co. Donegal",22612
"114 Fánaid Thuaidh, Co. Donegal",24387
"115 Fánaid Thiar, Co. Donegal",18640
"116 Glen, Co. Donegal",..
"117 Glenalla, Co. Donegal",26459
"118 Grianfort, Co. Donegal",16873
"119 Killygarvan, Co. Donegal",..
"120 Kilmacrenan, Co. Donegal",24411
"121 Cnoc Colbha, Co. Donegal",16024
"122 Loch Caol, Co. Donegal",..
"123 Millford, Co. Donegal",23337
"124 Rathmelton, Co. Donegal",27745
"125 Rathmullan, Co. Donegal",24106
"126 Ros Goill, Co. Donegal",17224
"127 Rosnakill, Co. Donegal",28725
"128 An Tearmann, Co. Donegal",28930
"129 Allt na Péiste, Co. Donegal",21910
"130 Castlefinn, Co. Donegal",18958
"131 An Clochán, Co. Donegal",26442
"132 Cloghard, Co. Donegal",29455
"133 Clonleigh North, Co. Donegal",24206
"134 Clonleigh South, Co. Donegal",24566
"135 Convoy, Co. Donegal",22943
"136 Dooish, Co. Donegal",27001
"137 Feddyglass, Co. Donegal",..
"138 Figart, Co. Donegal",22708
"139 Gleneely, Co. Donegal",24773
"140 Goland, Co. Donegal",29167
"141 Killygordon, Co. Donegal",25697
"142 Knock, Co. Donegal",28976
"143 Lettermore, Co. Donegal",24400
"144 Mín Charraigeach, Co. Donegal",..
"145 Raphoe, Co. Donegal",19095
"146 St. Johnstown, Co. Donegal",21263
"147 Stranorlar, Co. Donegal",24101
"148 Treantaghmucklagh, Co. Donegal",23663
"149 Urney West, Co. Donegal",29272
"001 Carrickmacross Urban, Co. Monaghan",23950
"002 Castleblayney Urban, Co. Monaghan",20849
"003 Clones Urban, Co. Monaghan",19943
"004 Monaghan Urban, Co. Monaghan",21141
"005 Ballymackney, Co. Monaghan",25732
"006 Bocks, Co. Monaghan",29329
"007 Carrickmacross Rural, Co. Monaghan",24799
"008 Corracharra, Co. Monaghan",30405
"009 Crossalare, Co. Monaghan",27516
"010 Donaghmoyne, Co. Monaghan",26206
"011 Drumboory, Co. Monaghan",21959
"012 Drumcarrow, Co. Monaghan",28434
"013 Drumgurra, Co. Monaghan",26994
"014 Enagh, Co. Monaghan",26734
"015 Inishkeen, Co. Monaghan",27007
"016 Kilmurry, Co. Monaghan",29432
"017 Kiltybegs, Co. Monaghan",23577
"018 Loughfea, Co. Monaghan",25785
"019 Raferagh, Co. Monaghan",25360
"020 Annayalla, Co. Monaghan",27285
"021 Ballybay Rural, Co. Monaghan",22655
"022 Ballybay Urban, Co. Monaghan",..
"023 Bellatrain, Co. Monaghan",27607
"024 Broomfield, Co. Monaghan",26976
"025 Carrickaslane, Co. Monaghan",23579
"026 Carrickatee, Co. Monaghan",28216
"027 Castleblayney Rural (Part Rural), Co. Monaghan",23962
"028 Church Hill, Co. Monaghan",17170
"029 Creeve, Co. Monaghan",25949
"030 Cremartin, Co. Monaghan",25837
"031 Greagh, Co. Monaghan",25872
"032 Laragh, Co. Monaghan",28600
"033 Mullyash, Co. Monaghan",..
"034 Aghabog, Co. Monaghan",25829
"035 Anny, Co. Monaghan",26991
"036 Clones Rural (Part Rural), Co. Monaghan",25999
"037 Cormeen, Co. Monaghan",26752
"038 Currin, Co. Monaghan",25477
"039 Dawsongrove, Co. Monaghan",24608
"040 Drum, Co. Monaghan",..
"041 Drummully, Co. Monaghan",..
"042 Killeevan, Co. Monaghan",24583
"043 Killynenagh, Co. Monaghan",..
"044 Lisnaveane, Co. Monaghan",26564
