 ,2016
"063 Stillorgan-Deerpark, Dún Laoghaire-Rathdown",52019
"064 Stillorgan-Kilmacud, Dún Laoghaire-Rathdown",45872
"065 Stillorgan-Leopardstown, Dún Laoghaire-Rathdown",52356
"066 Stillorgan-Merville, Dún Laoghaire-Rathdown",49657
"067 Stillorgan-Mount Merrion, Dún Laoghaire-Rathdown",56693
"068 Stillorgan-Priory, Dún Laoghaire-Rathdown",46342
"069 Tibradden, Dún Laoghaire-Rathdown",41340
"001 Athy East Urban, Co. Kildare",26298
"002 Athy West Urban, Co. Kildare",25312
"003 Naas Urban, Co. Kildare",31345
"004 Athy Rural (Part Rural), Co. Kildare",27641
"005 Ballaghmoon, Co. Kildare",36178
"006 Ballitore, Co. Kildare",27206
"007 Ballybrackan, Co. Kildare",31913
"008 Ballyshannon, Co. Kildare",31349
"009 Belan, Co. Kildare",30754
"010 Bert, Co. Kildare",33606
"011 Burtown, Co. Kildare",27540
"012 Carrigeen, Co. Kildare",32237
"013 Castledermot, Co. Kildare",24268
"014 Churchtown, Co. Kildare",28511
"015 Dunmanoge, Co. Kildare",26406
"016 Fontstown, Co. Kildare",30629
"017 Graney, Co. Kildare",25629
"018 Grangemellon, Co. Kildare",32753
"019 Harristown, Co. Kildare",29765
"020 Inchaquire, Co. Kildare",27960
"021 Johnstown, Co. Kildare",29742
"022 Kilberry, Co. Kildare",28477
"023 Kildangan, Co. Kildare",35359
"024 Kilkea, Co. Kildare",31372
"025 Kilrush, Co. Kildare",32371
"026 Lackagh, Co. Kildare",27971
"027 Monasterevin, Co. Kildare",26986
"028 Moone, Co. Kildare",30057
"029 Narraghmore, Co. Kildare",32455
"030 Nurney, Co. Kildare",29253
"031 Quinsborough, Co. Kildare",25564
"032 Skerries, Co. Kildare",31796
"033 Balraheen, Co. Kildare",36558
"034 Celbridge, Co. Kildare",33468
"035 Cloncurry, Co. Kildare",31757
"036 Donadea, Co. Kildare",31243
"037 Donaghcumper, Co. Kildare",34995
"038 Kilcock, Co. Kildare",29620
"039 Leixlip, Co. Kildare",33811
"040 Maynooth, Co. Kildare",35365
"041 Straffan, Co. Kildare",36800
"042 Ballynadrumny, Co. Kildare",26770
"043 Cadamstown, Co. Kildare",28975
"044 Carbury, Co. Kildare",24273
"045 Carrick, Co. Kildare",28627
"046 Cloncurry, Co. Kildare",31262
"047 Drehid, Co. Kildare",33112
"048 Dunfierth, Co. Kildare",31359
"049 Killinthomas, Co. Kildare",32274
"050 Kilpatrick, Co. Kildare",25333
"051 Kilrainy, Co. Kildare",27120
"052 Lullymore, Co. Kildare",31076
"053 Rathangan, Co. Kildare",25797
"054 Thomastown, Co. Kildare",25212
"055 Windmill Cross, Co. Kildare",23372
"056 Ballymore Eustace, Co. Kildare",27601
"057 Ballysax East, Co. Kildare",27075
"058 Ballysax West, Co. Kildare",28193
"059 Bodenstown, Co. Kildare",31432
"060 Carnalway, Co. Kildare",31980
"061 Carragh, Co. Kildare",33531
"062 Clane, Co. Kildare",32149
"063 Donore, Co. Kildare",30270
